Student Roll Number, Course ID 
ME15B117,GN5001
ME15B118,ME5323
ME15B118,AM5010
ME15B118,ED5317
ME15B119,MA2040
ME15B119,HS3420A
ME15B120,MA2040
ME15B120,ME5128
ME15B122,BT3230
ME15B122,BT5011
ME15B123,ME5323
ME15B123,ME5128
ME15B124,MA2040
ME15B125,MA2040
ME15B125,HS3420A
ME15B125,ME6221
ME15B126,EE5204
ME15B127,CH5016
ME15B128,ME5323
ME15B128,ME5303
ME15B128,ME5305
ME15B128,ME5307
ME15B129,HS3060
ME15B129,MA2040
ME15B129,ME5323
ME15B132,ME5107
ME15B132,ME5109
ME15B132,ME7223
ME15B132,CS6023
ME15B133,ME5128
ME15B134,MA2040
ME15B136,ME5132
ME15B136,MA2040
ME15B137,AM5011
ME15B139,CS6700
ME15B139,CH5170
ME15B140,CS6700
ME15B140,MA2040
ME15B140,ME5323
ME15B143,MA2040
ME15B144,ME5128
ME15B144,MA2040
ME15B147,MA2040
ME15B148,MA2040
ME15B149,MA2130
ME15B150,ED5317
ME15B151,ED1031
ME15B152,ME7244
ME15B152,ME5132
ME15B153,ME5001
ME15B153,CH5170
ME15B154,MS3520
ME15B156,ME7223
ME15B157,MA2040
ME15B158,MA2040
ME15B158,ME3126
ME15B159,MA2040
ME15B159,HS3420A
ME15B160,MS4110
ME15B163,MA2040
ME15B164,ME7223
ME15B166,ME7223
ME15B167,ME7223
ME16B002,MS3610
ME16B022,MS4110
ME16B032,ED5053
ME16B049,AM5030
ME16B057,MS3510
ME16B061,MS4110
ME16B071,MS3510
ME16B101,ID6040
ME16B129,MS3510
ME16B134,MS3510
ME16B135,MS3610
ME16B137,MS3510
ME16B157,MS3510
ME16B171,MS3510
ME17B077,PH3500
ME17B078,MS3510
ME17B081,HS4002
ME17B081,ME5323
ME17B082,HS4002
MM15B001,MM5700
MM15B001,HS4010
MM15B005,MM5700
MM15B010,HS3060
MM15B014,MM5700
MM15B014,HS4010
MM15B015,ED1031
MM15B018,HS4300
MM15B019,MM5104
MM15B020,MM5520
MM15B024,MM5012
MM15B026,HS4300
MM15B030,EE5312
MM15B030,HS4010
MM15B036,CE5900
MM15B036,MM3012
MM15B041,CH5350
MM15B044,MS4110
MM15B046,MM4010
MM15B047,HS3420A
MM15B048,MS4110
MM15B048,MM5024
MM16B013,MM3110
MM16B016,MM3012
MM16B017,HS3007
MM16B018,HS4300
MM16B019,MM3110
MM16B104,HS3007
MM16B109,HS3007
MM17B021,HS4290
MM17B102,MA2020
MM17B103,BT6270
NA15B001,OE4050
NA15B002,OE4050
NA15B003,MS3610
NA15B005,BT2012
NA15B005,PE6050
NA15B006,ID6105
NA15B006,AM5801
NA15B006,OE4050
NA15B006,OE5310
NA15B007,PE6020
NA15B007,OE5012
NA15B008,HS4350
NA15B010,OE4050
NA15B012,OE4050
NA15B013,HS4350
NA15B013,PE6050
NA15B013,MM5024
NA15B014,MS3520
NA15B016,OE5310
NA15B017,BT2012
NA15B017,PE6050
NA15B018,MS4110
NA15B020,PE6050
NA15B020,OE5012
NA15B021,OE5310
NA15B022,OE5310
NA15B023,AM5801
NA15B024,OE4050
NA15B025,HS4290
NA15B033,MS4110
NA15B033,CH5170
NA15B034,OE6980
NA15B036,CH5170
NA15B039,CH5020
NA15B041,OE5200
NA15B044,OE5650
NA15B045,OE5310
NA15B047,OE5200
NA15B048,OE5012
NA15B048,OE5650
NA15B049,OE5310
NA15B049,MA5310
NA16B004,MS3510
NA16B005,MS3510
NA16B005,MS4110
NA16B010,MS3510
NA16B011,MS3510
NA16B013,MS4110
NA16B013,CH5170
NA16B015,MS3510
NA16B019,MS3510
NA16B019,MS4110
NA16B033,MS4110
NA16B034,MS3510
NA16B103,CE5421
NA16B103,CE3030
NA16B108,OE3190
NA16B109,ED5011
NA16B115,HS4290
NA16B119,HS4290
NA17B010,HS4290
NA17B026,HS4002
NA17B027,HS4290
NA17B028,HS4290
NA17B031,HS4290
NA17B101,HS4290
NA17B103,HS4571
NA17B111,HS4290
PH17B004,HS4290
PH17B008,HS4290
PH17B009,HS4002
